ticket,category
"I cannot connect to the VM","Network Issue"
"My VM connection keeps timing out","Network Issue"
"The server is unreachable from my machine","Network Issue"
"I have a network issue with the instance","Network Issue"
"I cannot access the internal application","Network Issue"
"My password is not working","Access Issue"
"I cannot log in to the system","Access Issue"
"Access denied when opening the dashboard","Access Issue"
"I need permission to view the project","Access Issue"
"My account login keeps failing","Access Issue"
"The disk is full on the server","Storage Issue"
"I ran out of storage space","Storage Issue"
"The application cannot save files to disk","Storage Issue"
"Storage is almost full","Storage Issue"
"We need more disk space for backups","Storage Issue"
"The VM is down","Compute Issue"
"The compute instance stopped unexpectedly","Compute Issue"
"The server crashed after restart","Compute Issue"
"My virtual machine is not starting","Compute Issue"
"The instance is consuming too much CPU","Compute Issue"
"The app is slow today","General Issue"
"I need help with the platform","General Issue"
"There is an issue in the service","General Issue"
"The dashboard looks broken","General Issue"
"I have a technical problem and need support","General Issue"